Filename	Area	Mean	Min	Max	Median
072317_04_R3D_w523_t101.tif	0	NaN	255	20	255
072317_04_R3D_w523_t102.tif	0	NaN	255	20	255
072317_04_R3D_w523_t103.tif	0	NaN	255	20	255
072317_04_R3D_w523_t104.tif	0	NaN	255	20	255
072317_04_R3D_w523_t105.tif	0	NaN	255	20	255
072317_04_R3D_w523_t106.tif	0	NaN	255	20	255
072317_04_R3D_w523_t107.tif	0	NaN	255	20	255
072317_04_R3D_w523_t108.tif	0	NaN	255	20	255
072317_04_R3D_w523_t109.tif	0	NaN	255	19	255
072317_04_R3D_w523_t110.tif	0	NaN	255	18	255
072317_04_R3D_w523_t111.tif	0	NaN	255	18	255
072317_04_R3D_w523_t112.tif	0	NaN	255	18	255
072317_04_R3D_w523_t113.tif	0	NaN	255	17	255
072317_04_R3D_w523_t114.tif	0	NaN	255	17	255
072317_04_R3D_w523_t115.tif	0	NaN	255	17	255
072317_04_R3D_w523_t116.tif	0	NaN	255	17	255
072317_04_R3D_w523_t117.tif	0	NaN	255	17	255
072317_04_R3D_w523_t118.tif	0	NaN	255	17	255
072317_04_R3D_w523_t119.tif	0	NaN	255	17	255
072317_04_R3D_w523_t120.tif	0	NaN	255	17	255
072317_04_R3D_w523_t121.tif	0	NaN	255	17	255
072317_04_R3D_w523_t122.tif	0	NaN	255	17	255
072317_04_R3D_w523_t123.tif	0	NaN	255	17	255
072317_04_R3D_w523_t124.tif	0	NaN	255	17	255
072317_04_R3D_w523_t125.tif	0	NaN	255	16	255
072317_04_R3D_w523_t126.tif	0	NaN	255	16	255
072317_04_R3D_w523_t127.tif	0	NaN	255	16	255
072317_04_R3D_w523_t128.tif	0	NaN	255	17	255
072317_04_R3D_w523_t129.tif	0	NaN	255	17	255
072317_04_R3D_w523_t130.tif	0	NaN	255	16	255
072317_04_R3D_w523_t131.tif	0	NaN	255	16	255
072317_04_R3D_w523_t132.tif	0	NaN	255	17	255
072317_04_R3D_w523_t133.tif	0	NaN	255	16	255
072317_06_R3D_w523_t001.tif	45186	82.653897225	42	236	62
072317_06_R3D_w523_t002.tif	45107	76.919258652	42	217	60
072317_06_R3D_w523_t003.tif	44647	72.138687930	42	215	59
072317_06_R3D_w523_t004.tif	43879	67.714829417	42	212	59
072317_06_R3D_w523_t005.tif	42536	63.660475832	42	182	59
072317_06_R3D_w523_t006.tif	42161	61.550674794	42	175	60
072317_06_R3D_w523_t007.tif	41375	59.445800604	42	166	59
072317_06_R3D_w523_t008.tif	40645	58.014146882	42	156	58
072317_06_R3D_w523_t009.tif	40359	57.155950346	42	148	57
